Date,Open,High,Low,Close,Adj Close,Volume,Unique Address Total Count,Daily Transactions,ETH Supply,Market Cap,tweets_per_day
09/11/2017,308.644989,329.451996,307.056,320.884003,320.884003,893249984,191221,467172,95628326.75,30315682412,19111
10/11/2017,320.67099,324.717987,294.541992,299.252991,299.252991,885985984,189377,457427,95648853.59,29744460939,23367
11/11/2017,298.585999,319.453003,298.191986,314.681,314.681,842300992,160813,394378,95669271.88,29271947001,18178
12/11/2017,314.690002,319.153015,298.513,307.90799,307.90799,1613479936,184566,434380,95689482.59,29534301364,16071
13/11/2017,307.024994,328.415009,307.024994,316.716003,316.716003,1041889984,181735,443176,95709903.78,30114979519,16532
14/11/2017,316.763,340.177002,316.763,337.631012,337.631012,1069680000,200518,475984,95729953.81,31354967356,18786
15/11/2017,337.963989,340.911987,329.812988,333.356995,333.356995,722665984,223801,540593,95750447.38,32187928464,21696
16/11/2017,333.442993,336.158997,323.605988,330.924011,330.924011,797254016,203311,491482,95770669.91,31530137525,22397
17/11/2017,330.166992,334.963989,327.52301,332.394012,332.394012,621732992,213857,508590,95791033.91,31700816192,21023
18/11/2017,331.980011,349.615997,327.687012,347.612,347.612,649638976,184534,459679,95811365.84,32056968995,20267
19/11/2017,347.401001,371.290985,344.73999,354.385986,354.385986,1181529984,190248,464563,95831788.63,33998674909,18336
20/11/2017,354.093994,372.136993,353.289001,366.730011,366.730011,807027008,220195,530141,95852196.97,34545443583,20334
21/11/2017,367.442993,372.470001,350.692993,360.401001,360.401001,949912000,218786,524044,95872590.97,35059568070,18427
22/11/2017,360.312012,381.420013,360.147003,380.652008,380.652008,800819008,221517,546489,95893095.41,35109142514,21660
23/11/2017,381.438995,425.548004,376.088013,410.165985,410.165985,1845680000,226587,537068,95913442.81,38419748818,21303
24/11/2017,412.501007,480.972992,402.757996,474.911011,474.911011,2292829952,218669,525529,95933855.94,41753591397,23168
25/11/2017,475.675995,485.191986,461.053009,466.276001,466.276001,1422080000,217824,561166,95954171,45236443742,23803
26/11/2017,465.973999,472.722992,451.605988,471.329987,471.329987,1197779968,221071,542484,95974531.81,44263277098,19878
27/11/2017,471.531006,493.404999,468.484985,480.355011,480.355011,1396480000,261418,608695,95994803.56,46063949302,22763
28/11/2017,480.518005,482.480011,466.346985,472.902008,472.902008,1346499968,279130,638989,96015113.19,45735783895,20690
29/11/2017,473.281006,522.307007,425.071014,427.52301,427.52301,2675940096,300257,663579,96035538.22,45938028873,22704
30/11/2017,431.214996,465.497009,401.243011,447.114014,447.114014,1903040000,286670,655457,96055954.34,42094229049,17621
01/12/2017,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936,269459,622720,96076431.03,43070453301,20472
02/12/2017,466.851013,476.239014,456.653015,463.449005,463.449005,943649984,271772,627785,96096636.22,45013132612,17078
