Date,Sentiment Score,Close,Postive tweets,Negative tweets,Greed and fear score,Emotion Classification,Unique Address Count,Daily Transactions,Market Cap
01/04/2018,-1,379.606995,2171,2548,16,Extreme Fear,242924,545141,37892461913
02/04/2018,-1,386.424988,2603,3219,11,Extreme Fear,273669,598505,38071594417
03/04/2018,-1,416.893005,2724,3464,22,Extreme Fear,297313,645977,39862448116
04/04/2018,-1,380.542999,2622,3152,22,Extreme Fear,278604,628441,38662861077
05/04/2018,-1,383.231995,2356,3371,17,Extreme Fear,323318,695871,37337281864
06/04/2018,-1,370.285004,2407,3062,19,Extreme Fear,297370,647981,36798291024
07/04/2018,-1,385.313995,2105,2532,20,Extreme Fear,257955,535865,37798560308
08/04/2018,-1,400.507996,1894,2777,17,Extreme Fear,277445,595733,38923798688
09/04/2018,-1,398.526001,2498,3159,21,Extreme Fear,300919,609799,40029940831
10/04/2018,-1,414.243011,2733,3137,18,Extreme Fear,274869,571388,39880041281
11/04/2018,-1,430.540009,2633,3198,20,Extreme Fear,283631,609102,41322177149
12/04/2018,-1,492.94101,2864,3400,18,Extreme Fear,320576,692606,44194104227
13/04/2018,-1,492.734985,2531,3230,23,Extreme Fear,325286,730344,49839063384
14/04/2018,-1,501.477997,1955,2587,26,Fear,275453,611188,49208057246
15/04/2018,-1,531.702026,2072,2637,24,Extreme Fear,281542,619985,51373281513
16/04/2018,-1,511.147003,2403,3271,25,Extreme Fear,299241,664402,50536169896
17/04/2018,-1,502.894012,2558,3243,26,Fear,319361,742823,50444969683
18/04/2018,-1,524.789001,2572,3534,32,Fear,304728,703293,50765986722
19/04/2018,-1,567.888977,2755,3680,31,Fear,337828,814318,53657618484
20/04/2018,-1,615.718018,2312,3151,28,Fear,354452,832220,57548574485
21/04/2018,-1,605.39502,1970,3413,29,Fear,363413,746104,59835450921
22/04/2018,-1,621.859985,1995,3056,64,Greed,377403,748858,61568028046
23/04/2018,-1,642.547974,2340,3249,47,Neutral,400340,802870,63100594359
24/04/2018,-1,708.15802,2552,3116,55,Greed,398806,816357,68183026314
25/04/2018,-1,615.416016,2415,2829,54,Neutral,354255,799014,63954270395
26/04/2018,-1,662.809021,2248,2791,61,Greed,348776,793873,62796525507
